projectUUID;personName;personLastName;role;externalContributor;personUUID
4cac7654-2655-4c1b-b201-1ef33d01b353;Claus ;Brabrand;CoI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
8146f4ce-2057-47de-80a7-f7707e6506e0;Claus ;Brabrand;PI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
35203d5b-8d9b-4719-aeb2-6f5074ac1686;Claus ;Brabrand;CoI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
e7d8b595-d142-4a34-bfb1-0a9f04cb1cdf;Claus ;Brabrand;CoI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
a47bca2c-ed3b-4a03-9e96-b962a0ede92f;Claus;Brabrand;PI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
27fa767d-574d-442f-8940-cf35f8a8d1e9;Claus;Brabrand;PI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
76cb5d46-afe1-495d-af7a-8ab6befa08eb;Claus;Brabrand;PI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
a907479e-4af4-4eff-b304-6af4afbc9294;Claus;Brabrand;PI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
061dd7d9-61b9-4f58-a036-47cb615f81bc;Claus ;Brabrand;PI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
efa59359-9c40-4650-8102-90a1abaf9744;Claus;Brabrand;PI;FALSE;47a94200-3abe-4354-b5e3-c8ef6f1ba1f2
33b3fc7e-5aad-48c0-877c-ada1be556f22;Thore ;Husfeldt;CoI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
9ad37013-9e66-4805-a8f4-0c98f7820ff8;Thore ;Husfeldt;PI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
9a7a0308-9c35-463c-9d04-cd3f31ae718e;Thore ;Husfeldt;PI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
8146f4ce-2057-47de-80a7-f7707e6506e0;Thore ;Husfeldt;PI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
6e3780d5-8dbd-4884-9222-02187fffbe81;Thore ;Husfeldt;CoI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
87b09ec4-7edb-49b6-ac7b-f3b9cf9e1fba;Thore ;Husfeldt;PI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
4fd8ced5-f8bd-4a2a-8d7f-f566a10fc1ad;Thore ;Husfeldt;PI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
b4fec4cc-f92f-422a-b236-e6dab6e72eaf;Thore ;Husfeldt;PI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
b2c524ac-7511-4809-99bc-be9ddc9444d9;Thore ;Husfeldt;PI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
a3b4f642-b6d4-4cb6-9ea9-25e28fff5c46;Thore ;Husfeldt;PI;FALSE;472021c7-73cc-44ba-a4ef-70cd2bed8601
3e7a5097-15b1-4f1e-b343-b06f74cc224b;Maaike Annebet;Zwart;CoI;FALSE;4634ce05-3fcb-49ca-89c7-080955f450e8
70aa6be9-7b1a-4d02-8516-2f226c6446a7;Ane Rahbek;Vierø;CoI;FALSE;45b600aa-d6c7-4c4b-91b3-1d934aec4402
bc25c1fb-6f03-44c3-9f92-5cd7e68c76b0;Vasilis ;Galis;PI;FALSE;443362d7-b255-460d-a559-0fa80a8d9fbc
2654b6d6-568c-45ce-a65c-8841b523517a;Vasilis ;Galis;PI;FALSE;443362d7-b255-460d-a559-0fa80a8d9fbc
c82f5a3b-b237-48b8-8b59-b5ef25702f02;Vasilis ;Galis;PI;FALSE;443362d7-b255-460d-a559-0fa80a8d9fbc
92a3a94c-c825-4662-97bc-2b9d802618ea;Vasilis ;Galis;PI;FALSE;443362d7-b255-460d-a559-0fa80a8d9fbc
aecbaf94-4098-45e4-a536-bbf29ab9de55;Vasilis ;Galis;PI;FALSE;443362d7-b255-460d-a559-0fa80a8d9fbc
cd952189-982a-4f7f-8e1e-ccd3fde697a9;Vasilis ;Galis;PI;FALSE;443362d7-b255-460d-a559-0fa80a8d9fbc
808b4113-1e7f-4fef-b1dd-fb6290801fa8;Vasilis ;Galis;PI;FALSE;443362d7-b255-460d-a559-0fa80a8d9fbc
9aadc91b-d99a-402c-8c3c-dd2ac88f938f;Elizabete ;Munzlinger;PI;FALSE;4398dfd4-2627-4dbb-9ef1-de133b87f57f
4d82f1f3-3bfd-4b4f-b906-501050b7b42c;Camilla Vesterberg;Christensen;CoI;FALSE;42d8cef2-2fa9-4545-b4f4-a44dadf4934f
9f485f10-7bd6-485b-a9f2-967689449145;Titus Theodorus (Ties);Robroek;Collaborator;FALSE;42c316a3-1a31-469b-b436-635edc389e02
524b4d8b-c35d-4c77-89d4-8d13cbdb2fab;Titus Theodorus (Ties);Robroek;CoI;FALSE;42c316a3-1a31-469b-b436-635edc389e02
bd6a8c04-9308-487b-8323-4b72896ec674;Sarita de;Berg;Collaborator;FALSE;4277f6ec-bfbb-4bef-bed8-2a3420be1d6e
16e7a68a-1a39-4e97-82bd-cdad60df959b;Pawel ;Grabarczyk;CoI;FALSE;42147e05-f94c-471d-a889-c57a01e4bdd0
16e7a68a-1a39-4e97-82bd-cdad60df959b;Pawel ;Grabarczyk;CoI;FALSE;42147e05-f94c-471d-a889-c57a01e4bdd0
7ee17c5d-2d57-4179-b42a-6213d5278303;Pawel ;Grabarczyk;CoI;FALSE;42147e05-f94c-471d-a889-c57a01e4bdd0
1f37cc01-5816-4c09-bc9a-7c4a9718244c;Pawel ;Grabarczyk;PI;FALSE;42147e05-f94c-471d-a889-c57a01e4bdd0
dec18386-7572-4600-aebd-ab3a3fa32b4f;Pawel ;Grabarczyk;CoI;FALSE;42147e05-f94c-471d-a889-c57a01e4bdd0
5140d65f-c9c2-4102-ade1-a656cce36387;Justyna ;Starostka;CoI;FALSE;41da2096-dc8b-44c2-93ad-6473e220f85e
701a299d-cdcb-46b9-95c2-b8e57bf927c4;Roberta ;Sinatra;PI;FALSE;418f030f-2b26-4c74-a77b-c0c87d13f56d
3fe79ef9-5777-4dee-8747-33d8e36ad194;Roberta ;Sinatra;PI;FALSE;418f030f-2b26-4c74-a77b-c0c87d13f56d
1baff225-8457-4d6e-90a7-149c465f4cd0;Roberta ;Sinatra;PI;FALSE;418f030f-2b26-4c74-a77b-c0c87d13f56d
5e18225a-fb16-48e3-8372-7967aad1e215;Aske ;Mottelson;PI;FALSE;410df04c-bc1d-4cd3-9726-c35469ddab8c
7715d28a-f1b5-4a1b-b8b4-9de63c8005e1;Aske ;Mottelson;PI;FALSE;410df04c-bc1d-4cd3-9726-c35469ddab8c
28c482c8-3f29-4c4d-abae-c3ea636d65c1;Aske ;Mottelson;CoI;FALSE;410df04c-bc1d-4cd3-9726-c35469ddab8c
10e9f2c0-6975-4f59-850c-d3ea25ac210e;Aske ;Mottelson;PI;FALSE;410df04c-bc1d-4cd3-9726-c35469ddab8c
b774d6b9-79b1-40f6-9121-74cc50c59810;Ratish Surendran;Puduppully;PI;FALSE;410b0cad-d9fe-48d8-9edc-56ad6eb9c43b
04901e3f-f20c-4593-9cf2-a6aed2006f50;Ratish Surendran;Puduppully;PI;FALSE;410b0cad-d9fe-48d8-9edc-56ad6eb9c43b
33b3fc7e-5aad-48c0-877c-ada1be556f22;Nutan ;Limaye;CoI;FALSE;3f05e4ce-6433-4c5a-b72c-aa89422cf431
c9aefc8b-9ef0-43ac-9c98-cffaa5182819;Nutan ;Limaye;CoI;FALSE;3f05e4ce-6433-4c5a-b72c-aa89422cf431
9a7a0308-9c35-463c-9d04-cd3f31ae718e;Nutan ;Limaye;CoI;FALSE;3f05e4ce-6433-4c5a-b72c-aa89422cf431
a507601c-13b2-43e4-9c7f-177b3dd104f0;Nutan ;Limaye;PI;FALSE;3f05e4ce-6433-4c5a-b72c-aa89422cf431
8146f4ce-2057-47de-80a7-f7707e6506e0;Nutan ;Limaye;PI;FALSE;3f05e4ce-6433-4c5a-b72c-aa89422cf431
dfe2d0c1-43a4-4c48-a826-249843db5780;Nutan ;Limaye;PI;FALSE;3f05e4ce-6433-4c5a-b72c-aa89422cf431
b4fec4cc-f92f-422a-b236-e6dab6e72eaf;Nutan ;Limaye;CoI;FALSE;3f05e4ce-6433-4c5a-b72c-aa89422cf431
bdc5f880-0b1d-43f8-b7de-416751a1c29a;Nutan ;Limaye;PI;FALSE;3f05e4ce-6433-4c5a-b72c-aa89422cf431
92a3a94c-c825-4662-97bc-2b9d802618ea;Cæcilie Sloth;Laursen;CoI;FALSE;3ef9211c-34b2-4061-ba59-c5800d6a5b32
1155118b-f91f-4fba-8ec2-328dc348ca54;Jonas Valbjørn;Andersen;PI;FALSE;3dac6e0e-2770-4c5e-b32a-d7750523516f
