id,period,title,language
560,Spring 2017,Digital Democratic Citizenship,English
561,Spring 2018,Digital Democratic Citizenship,English
562,Autumn 2016,Digital Democratic Citizenship in Research and Practice,English
563,Autumn 2017,Digital Democratic Citizenship in Research and Practice,English
564,Autumn 2019,Digital Design and Interactive Technologies - Foundations,English
565,Autumn 2018,Digital Design and Interactive Technologies - Foundations,English
566,Autumn 2020,Digital Design and Interactive Technologies - Foundations,English
567,Autumn 2021,Digital Design and Interactive Technologies - Foundations,English
568,Autumn 2022,Digital Design and Interactive Technologies - Foundations,English
569,Autumn 2023,Digital Design and Interactive Technologies - Foundations,English
570,Spring 2025,Digital Design and Interactive Technologies - Foundations,English
571,Spring 2025,Digital Economics,English
572,Spring 2025,Digital Innovation in Practice,English
573,Autumn 2025,Digital Material Interactions,English
574,Autumn 2019,Digital Media Analysis,
575,Autumn 2016,Digital Media and Communication,
576,Autumn 2017,Digital Media and Communication,
577,Autumn 2015,Digital Media and Communication - A,
578,Autumn 2013,Digital Media and Communication I,
579,Autumn 2014,Digital Media and Communication I,
580,Autumn 2013,Digital Media and Communication II,
581,Autumn 2014,Digital Media and Communication II,
582,Autumn 2023,Digital Organizing and Transformation,English
583,Autumn 2023,Digital Organizing and Transformation,
584,Autumn 2024,Digital Organizing and Transformation,
585,Autumn 2025,Digital Organizing and Transformation,
586,Spring 2024,Digital Organizing and Transformation (Summer University),English
587,Spring 2024,Digital Organizing and Transformation (Summer University),
588,Spring 2025,Digital Organizing and Transformation (Summer University),
589,Spring 2026,Digital Organizing and Transformation (Summer University),
590,Autumn 2021,Digital Platforms,English
591,Autumn 2021,Digital Platforms,
592,Spring 2014,Digital Platforms - extraordinary exam (autumn 2022),
593,Spring 2014,Digital Rhetorics I,
594,Spring 2014,Digital Rhetorics II,
595,Autumn 2024,Digital Technologies and Humans,English
596,Autumn 2024,Digital Technologies and Humans,
597,Autumn 2025,Digital Technologies and Humans,
598,Spring 2014,Digital Technology and New Business Models,
599,Spring 2015,Digital Technology and New Business Models,
600,Spring 2015,Digital Technology and new Business Models with Specialisation Project,
601,Spring 2022,Digital Transformation and Change - MSc,English
602,Autumn 2021,Digital innovation,Danish
603,Autumn 2025,Digital innovation,Danish
604,Autumn 2022,Digital innovation,Danish
605,Autumn 2023,Digital innovation,Danish
606,Autumn 2024,Digital innovation,Danish
607,Spring 2016,Digital innovation,Danish
608,Spring 2017,Digital innovation,Danish
609,Spring 2018,Digital innovation,Danish
610,Spring 2015,Digital innovation - I,Danish
611,Spring 2015,Digital innovation - II,Danish
612,Spring 2026,Digital innovation i praksis,Danish
613,Autumn 2016,Digital journalistik og projektledelse,Danish
614,Autumn 2017,Digital journalistik og projektledelse,Danish
615,Spring 2015,Digital kultur og medier,Danish
616,Spring 2016,Digital kultur og medier,Danish
617,Spring 2017,Digital kultur og medier,Danish
618,Spring 2018,Digital kultur og medier,Danish
619,Spring 2019,Digital kultur og medier,Danish
620,Spring 2022,Digital kultur og medier,Danish
621,Spring 2023,Digital kultur og medier,Danish
622,Spring 2024,Digital kultur og medier,Danish
623,Spring 2017,Digital ledelse - DIT,Danish
624,Spring 2016,Digital medieæstetik,Danish
625,Spring 2016,Digital retorik,Danish
626,Spring 2015,Digital retorik I,Danish
627,Spring 2015,Digital retorik II,Danish
628,Spring 2016,Digital technology and New Business Models,Danish
629,Spring 2017,Digital technology and New Business Models with Specialisation Project,Danish
630,Spring 2025,Digital teknologi i samfundet,Danish
631,Spring 2026,Digital teknologi i samfundet,Danish
632,Autumn 2022,Digital transformation og forretningsmodeller,Danish
633,Spring 2021,Digitale brugerstudier,Danish
634,Autumn 2019,Digitalisation and Public Sector Transformation,English
635,Autumn 2019,Digitalisation and Public Sector Transformation,Danish
636,Autumn 2020,Digitalisation and Public Sector Transformation,Danish
637,Autumn 2019,Digitalisering i det offentlige,Danish
638,Autumn 2018,Digitalisering i det offentlige,Danish
639,Autumn 2020,Digitalisering i det offentlige,Danish
640,Autumn 2021,Digitalisering i det offentlige,Danish
641,Autumn 2022,Digitalisering i det offentlige,Danish
642,Autumn 2023,Digitalisering i det offentlige,Danish
643,Autumn 2025,Digitalisering i det offentlige,Danish
644,Spring 2022,Digitaliseringsstrategi - IT-strategi og forretningsforståelse,Danish
645,Spring 2023,Digitaliseringsstrategi - IT-strategi og forretningsforståelse,Danish
646,Spring 2024,Digitaliseringsstrategi - IT-strategi og forretningsforståelse,Danish
647,Spring 2025,Digitaliseringsstrategi - IT-strategi og forretningsforståelse,Danish
648,Spring 2026,Digitaliseringsstrategi - IT-strategi og forretningsforståelse,Danish
649,Autumn 2021,Digitalt materiale og interaktive artefakter,Danish
650,Autumn 2022,Digitalt materiale og interaktive artefakter,Danish
651,Autumn 2023,Digitalt materiale og interaktive artefakter,Danish
652,Autumn 2024,Digitalt materiale og interaktive artefakter,Danish
653,Spring 2015,Digitalt materiale og interaktive artefakter,Danish
654,Spring 2018,Digitalt materiale og interaktive artefakter,Danish
655,Autumn 2019,Discrete Mathematics - MSc SD,English
656,Autumn 2020,Discrete Mathematics - MSc SD,English
657,Autumn 2021,Discrete Mathematics - MSc SD,English
658,Autumn 2022,Discrete Mathematics - MSc SD,English
659,Autumn 2023,Discrete Mathematics - MSc SD,English
660,Autumn 2024,Discrete Mathematics - MSc SD,English
661,Autumn 2025,Discrete Mathematics - MSc SD,English
662,Autumn 2020,Distributed Systems MSc,English
663,Autumn 2021,Distributed Systems MSc,English
664,Autumn 2022,Distributed Systems MSc,English
665,Autumn 2023,Distributed Systems MSc,English
666,Autumn 2025,Distributed Systems MSc,English
667,Autumn 2020,Distributed Systems - BSc,English
668,Autumn 2021,Distributed Systems - BSc,English
669,Autumn 2022,Distributed Systems - BSc,English
670,Autumn 2023,Distributed Systems - BSc,English
671,Autumn 2024,Distributed Systems - BSc,English
672,Autumn 2025,Distributed Systems - BSc,English
673,Autumn 2016,Domain Specific Languages - MSc,English
674,Autumn 2017,Domain Specific Languages - MSc,English
675,Spring 2019,Domain Specific Languages - MSc (Spring 2019) - MERGED with KSMOSYL1KU,English
676,Autumn 2026,E25 testkursus,English
677,Autumn 2025,Enterprise Systems & Platform Ecosystems,English
678,Autumn 2019,Enterprise Systems and Information Management,English
679,Spring 2020,Entrepreneurship (Summer University),Danish
680,Autumn 2019,Entrepreneurship and Business Decisions,English
681,Autumn 2018,Entrepreneurship and Business Decisions,Danish
682,Autumn 2019,Entrepreneurship and Business Decisions,Danish
683,Autumn 2020,Entrepreneurship and Business Decisions,Danish
684,Spring 2020,Entrepreneurship and Business Decisions (Extraordinary exam),Danish
685,Spring 2020,Entrepreneurship and Business Decisions - Extraordinary exam (Spring 2021 - August),Danish
686,Spring 2021,Entrepreneurship and Business Decisions - Extraordinary exam,Danish
687,Spring 2020,Entrepreneurship and Business Decisions - extraordinary exam (autumn 2021),Danish
688,Autumn 2013,Environmental Networks,Danish
689,Autumn 2014,Environmental Networks,Danish
690,Spring 2020,Erstatningsprojekt BFOP E23,Danish
691,Spring 2021,Ethical Hacking,English
692,Spring 2021,Ethical Hacking,Danish
693,Spring 2022,Ethical Hacking,Danish
694,Spring 2023,Ethical Hacking,Danish
695,Spring 2024,Ethical Hacking,Danish
696,Spring 2025,Ethical Hacking,Danish
697,Spring 2026,Ethical Hacking,Danish
698,Autumn 2021,Evidence-based Management,English
699,Autumn 2021,Evidence-based Management,Danish
700,Autumn 2022,Evidence-based Management,Danish
701,Autumn 2023,Evidence-based Management,Danish
702,Autumn 2024,Evidensbaseret ledelse,Danish
703,Autumn 2025,Evidensbaseret ledelse,Danish
704,Spring 2020,Experimental Design in Practice (Summer University),
705,Spring 2024,Experimentelt design i praksis,
706,Autumn 2019,Forretningsprocesser og organisation,Danish
707,Autumn 2019,Foundations of Computing - Discrete Mathematics BSc,
708,Spring 2022,Foundations of Game AI,English
709,Spring 2023,Foundations of Game AI - BSc,English
710,Spring 2024,Foundations of Game AI - BSc,English
711,Spring 2025,Foundations of Game AI - BSc,English
712,Spring 2026,Foundations of Game AI - BSc,English
713,Autumn 2013,Foundations of Play and Games,English
714,Autumn 2014,Foundations of Play and Games,English
715,Autumn 2015,Foundations of Play and Games,English
716,Autumn 2016,Foundations of Play and Games,English
717,Autumn 2023,Foundations of Probability,English
718,Autumn 2024,Foundations of Probability,English
719,Autumn 2025,Foundations of Probability,English
720,Spring 2015,Frameworks and Architectures for the Web,English
721,Spring 2016,Frameworks and Architectures for the Web,English
722,Spring 2017,Frameworks and Architectures for the Web - BSc,English
723,Spring 2017,Frameworks and Architectures for the Web - MSc,English
724,Spring 2018,Frameworks and Architectures for the Web - MSc,English
725,Spring 2019,Frameworks and Architectures for the Web - MSc,English
726,Spring 2020,Frameworks and Architectures for the Web - MSc,English
727,Spring 2021,Frameworks and Architectures for the Web - MSc,English
728,Spring 2022,Frameworks and Architectures for the Web - MSc,English
729,Spring 2023,Frameworks and Architectures for the Web - MSc,English
730,Spring 2024,Frameworks and Architectures for the Web - MSc,English
731,Spring 2025,Frameworks and Architectures for the Web - MSc,English
732,Spring 2026,Frameworks and Architectures for the Web - MSc,English
733,Spring 2024,Framing Course,English
734,Spring 2024,Framing Course (TDP) A2019,English
735,Spring 2024,Framing Course (TDP) A2020,English
736,Spring 2024,Framing Course (TDP) A2021,English
737,Spring 2024,Framing Course (TDP) S2019,English
738,Spring 2024,Framing Course (TDP) S2020,English
739,Spring 2024,Framing Course (TDP) S2021,English
740,Spring 2023,Fremtidens bæredygtige virksomheder,Danish
741,Autumn 2013,From Concept Art to In-Game Graphics,Danish
742,Spring 2014,From Concept Art to In-Game Graphics,Danish
743,Spring 2015,From Concept Art to In-Game Graphics,Danish
744,Spring 2016,Functional Programming,Danish
745,Spring 2017,Functional Programming,Danish
746,Spring 2018,Functional Programming,Danish
747,Spring 2019,Functional Programming,Danish
748,Spring 2020,Functional Programming,Danish
749,Spring 2021,Functional Programming,Danish
750,Spring 2022,Functional Programming,Danish
751,Spring 2023,Functional Programming,Danish
752,Spring 2024,Functional Programming,Danish
753,Spring 2025,Functional Programming,Danish
754,Spring 2026,Functional Programming,Danish
755,Spring 2022,Functional Programming - SWU,
756,Spring 2022,Functional Programming - SWU,Danish
757,Spring 2023,Functional Programming - SWU,Danish
758,Spring 2024,Functional Programming - SWU,Danish
759,Spring 2025,Functional Programming - SWU,Danish
760,Spring 2026,Functional Programming - SWU,Danish
761,Spring 2018,Førsteårsprojekt: Danmarkskort. Visualisering - Navigation - Søgning og Ruteplanlægning,Danish
762,Spring 2019,Førsteårsprojekt: Danmarkskort. Visualisering - Navigation - Søgning og Ruteplanlægning,Danish
763,Spring 2020,Førsteårsprojekt: Danmarkskort. Visualisering - Navigation - Søgning og Ruteplanlægning,Danish
764,Autumn 2019,Game Programming,English
765,Autumn 2017,Game Programming,English
766,Autumn 2018,Game Programming,English
767,Autumn 2020,Game Programming,English
768,Autumn 2021,Game Programming,English
769,Autumn 2022,Game Programming,English
770,Autumn 2023,Game Programming,English
771,Autumn 2024,Game Programming,English
772,Autumn 2025,Game Programming,English
773,Spring 2018,Game Project,English
774,Autumn 2019,Games & Culture,English
775,Spring 2026,Games User Research,English
776,Spring 2022,Geospatial Data Science,English
777,Spring 2026,Geospatial Data Science,English
778,Spring 2023,Geospatial Data Science,English
779,Spring 2024,Geospatial Data Science,English
780,Spring 2025,Geospatial Data Science,English
781,Autumn 2013,Global IT,English
782,Autumn 2014,Global IT I,English
783,Autumn 2025,Global Project Management,English
784,Spring 2014,Global Project Management,English
785,Spring 2015,Global Project Management,English
786,Spring 2016,Global Project Management,English
787,Spring 2017,Global Project Management,English
788,Spring 2018,Global Project Management,English
789,Spring 2019,Global Project Management,English
790,Spring 2020,Global Project Management,English
791,Spring 2021,Global Project Management,English
792,Spring 2022,Global Project Management,English
793,Spring 2023,Global Project Management,English
794,Spring 2024,Global Project Management,English
795,Spring 2025,Global Project Management - extraordinary exam,English
796,Autumn 2013,Global Software Development,English
797,Autumn 2013,Global Software Development 2,English
798,Autumn 2019,Global it,Danish
799,Autumn 2015,Global it,English
800,Autumn 2016,Global it,English
801,Autumn 2017,Global it,English
802,Autumn 2018,Global it,English
803,Autumn 2019,Global it,English
804,Spring 2019,Global it,English
805,Autumn 2019,Graphics Programming,English
806,Autumn 2023,High-Performance Game Programming,English
807,Autumn 2025,How to Build Data Systems,English
808,Autumn 2024,How to LearnIT,English
809,Spring 2020,How to Make (Almost) Anything (Summer University),English
810,Spring 2021,How to Make (Almost) Anything (Summer University),English
811,Spring 2022,How to Make (Almost) Anything (Summer University),English
812,Spring 2023,How to Make (Almost) Anything (Summer University),English
813,Spring 2024,How to Make (Almost) Anything (Summer University),English
814,Spring 2025,How to Make (Almost) Anything (Summer University),English
815,Spring 2026,How to Make (Almost) Anything (Summer University),English
816,Autumn 2024,How to Study - BDDIT,English
817,Autumn 2024,How to Study - BDS,English
818,Autumn 2024,How to Study - GBI,English
819,Autumn 2024,How to Study - SWU,English
820,Autumn 2017,How to make (almost) anything,English
821,Autumn 2018,How to make (almost) anything,English
822,Autumn 2019,How to make (almost) anything,English
823,Autumn 2019,IT Project and Portfolio Management,English
824,Spring 2020,IT and Business Process Modelling,English
825,Spring 2014,IT and Business Process Modelling,English
826,Spring 2015,IT and Business Process Modelling,English
827,Spring 2019,IT and Business Process Modelling,English
828,Spring 2021,IT and Business Process Modelling,English
829,Spring 2022,IT and Business Process Modelling,English
830,Spring 2023,IT and Green Transitions - extraordinary exam,English
831,Autumn 2022,IT and Green Transitions - BSc,English
832,Autumn 2023,IT and Green Transitions - BSc,English
833,Autumn 2024,IT and Green Transitions - BSc,English
834,Autumn 2025,IT and Green Transitions - BSc,English
835,Spring 2025,IT and Green Transitions - BSc - Extraordinary exam,English
836,Autumn 2022,IT and Green Transitions - MSc,English
837,Autumn 2023,IT and Green Transitions - MSc,English
838,Autumn 2024,IT and Green Transitions - MSc,English
839,Autumn 2025,IT and Green Transitions - MSc,English
840,Spring 2025,IT and Green Transitions - MSc - Extraordinary exam,English
841,Spring 2014,IT in Organizations - a Practice Approach,English
842,Spring 2021,IT og bæredygtighed,Danish
843,Spring 2021,IT og bæredygtighed,English
844,Autumn 2019,IT - Globalisation and Culture,English
845,Autumn 2024,IT - Globalisation and Culture,English
846,Autumn 2013,IT - Globalisation and Culture,English
847,Autumn 2014,IT - Globalisation and Culture,English
848,Autumn 2015,IT - Globalisation and Culture,English
849,Autumn 2016,IT - Globalisation and Culture,English
850,Autumn 2017,IT - Globalisation and Culture,English
851,Autumn 2018,IT - Globalisation and Culture,English
852,Autumn 2020,IT - Globalisation and Culture,English
853,Autumn 2021,IT - Globalisation and Culture,English
854,Autumn 2022,IT - Globalisation and Culture,English
855,Autumn 2023,IT - Globalisation and Culture,English
856,Autumn 2025,IT - Globalisation and Culture,English
857,Autumn 2019,IT-Enabled Supply Chain Management,English
858,Autumn 2016,IT-Enabled Supply Chain Management,English
859,Autumn 2017,IT-Enabled Supply Chain Management,English
860,Autumn 2018,IT-Enabled Supply Chain Management,English
861,Autumn 2020,IT-Enabled Supply Chain Management,English
862,Autumn 2021,IT-Enabled Supply Chain Management,English
863,Autumn 2022,IT-Enabled Supply Chain Management,English
864,Autumn 2023,IT-Enabled Supply Chain Management,English
865,Autumn 2024,IT-Enabled Supply Chain Management,English
866,Autumn 2025,IT-Enabled Supply Chain Management,English
867,Autumn 2015,IT-Enabled Supply Change Management,English
868,Autumn 2014,IT-Mediated & Networked Practices,English
869,Autumn 2014,IT-Mediated & Networked Practices with Specialisation Project,English
870,Spring 2015,IT-enabled Process Improvement,English
871,Autumn 2019,IT-ledelse og IT-organisationens rolle,Danish
872,Autumn 2014,IT-ledelse og IT-organisationens rolle,English
873,Autumn 2015,IT-ledelse og IT-organisationens rolle,English
874,Autumn 2016,IT-ledelse og IT-organisationens rolle,English
875,Autumn 2017,IT-ledelse og IT-organisationens rolle,English
876,Autumn 2018,IT-ledelse og IT-organisationens rolle,English
877,Autumn 2019,IT-ledelse og IT-organisationens rolle,English
878,Autumn 2019,IT-ledelsesfagets metoder og kommunikation,Danish
879,Autumn 2015,IT-ledelsesfagets metoder og kommunikation,Danish
880,Autumn 2016,IT-ledelsesfagets metoder og kommunikation,Danish
881,Autumn 2017,IT-ledelsesfagets metoder og kommunikation,Danish
882,Autumn 2018,IT-ledelsesfagets metoder og kommunikation,Danish
883,Spring 2016,IT-ledelsesfagets metoder og kommunikation,Danish
884,Autumn 2020,ITU Course Template,Danish
885,Autumn 2020,ITU Final Master Project Template,Danish
886,Autumn 2020,ITU GDPR,Danish
887,Autumn 2020,ITU Project Template NY,Danish
888,Autumn 2020,ITU Thesis Template NY,Danish
889,Autumn 2020,Industrial Scrum Master Training (Spring 2019) - MERGED with BSANSSG1KU,Danish
890,Spring 2020,Industrial Scrum Master Training,Danish
891,Spring 2021,Industrial Scrum Master Training,Danish
892,Spring 2022,Industrial Scrum Master Training,Danish
893,Spring 2023,Industrial Scrum Master Training,Danish
894,Spring 2024,Industrial Scrum Master Training,Danish
895,Spring 2025,Industrial Scrum Master Training,Danish
896,Spring 2026,Industrial Scrum Master Training,Danish
897,Spring 2018,Industrial Software Engineering,Danish
898,Autumn 2019,Industry Projects,Danish
899,Autumn 2017,Innnovation & entrepreneurship - local basis - global business,Danish
900,Autumn 2018,Innnovation & entrepreneurship - local basis - global business,Danish
901,Autumn 2019,Innnovation & entrepreneurship - local basis - global business,Danish
902,Spring 2019,Innnovation & entrepreneurship - local basis - global business,Danish
903,Autumn 2016,Innovation & entrepreneurship - local basis - global business,Danish
904,Autumn 2013,Innovation and Concept Development,Danish
905,Spring 2014,Innovation and Concept Development,Danish
906,Spring 2014,Innovation and Entrepreneurship,Danish
907,Autumn 2013,Innovation and Technology in Society,Danish
908,Autumn 2014,Innovation and Technology in Society,Danish
909,Autumn 2015,Innovation and Technology in Society,Danish
910,Autumn 2016,Innovation and Technology in Society,Danish
911,Spring 2014,Innovation and Technology in Society,Danish
912,Autumn 2020,Interaction Design: Concepts and Perspectives,English
913,Autumn 2019,Interaktionsdesign: Kernebegreber og perspektiver,Danish
914,Autumn 2021,Interaktionsdesign: Kernebegreber og perspektiver,Danish
915,Autumn 2022,Interaktionsdesign: Kernebegreber og perspektiver,Danish
916,Autumn 2023,Interaktionsdesign: Kernebegreber og perspektiver,Danish
917,Autumn 2024,Interaktionsdesign: Kernebegreber og perspektiver,Danish
918,Autumn 2014,Interaktionsdesign: genrer og kontekster,Danish
919,Autumn 2015,Interaktionsdesign: genrer og kontekster,Danish
920,Autumn 2016,Interaktionsdesign: genrer og kontekster,Danish
921,Autumn 2017,Interaktionsdesign: genrer og kontekster,Danish
922,Spring 2017,Interfacedesign og æstetik,Danish
923,Spring 2019,Internet of Things,Danish
924,Spring 2020,Internet of Things,Danish
925,Spring 2021,Internet of Things,Danish
926,Spring 2022,Internet of Things,Danish
927,Spring 2023,Internet of Things,Danish
928,Spring 2024,Internet of Things,Danish
929,Spring 2025,Internet of Things,Danish
930,Spring 2026,Internet of Things,Danish
931,Autumn 2019,Introducerende akademisk projekt,Danish
932,Autumn 2016,Introducerende akademisk projekt - Kvalifikationsforløb til master,Danish
933,Autumn 2017,Introducerende akademisk projekt - Kvalifikationsforløb til master,Danish
934,Autumn 2018,Introducerende akademisk projekt - Kvalifikationsforløb til master,Danish
935,Spring 2016,Introducerende akademisk projekt - Kvalifikationsforløb til master,Danish
936,Spring 2020,Introduction to Artificial Intelligence - BSc,English
937,Spring 2020,Introduction to Artificial Intelligence - BSc,Danish
938,Spring 2021,Introduction to Artificial Intelligence - BSc,Danish
939,Spring 2022,Introduction to Artificial Intelligence - BSc,Danish
940,Spring 2020,Introduction to Artificial Intelligence - MSc,English
941,Spring 2021,Introduction to Artificial Intelligence - MSc,English
942,Spring 2022,Introduction to Artificial Intelligence - MSc,English
943,Spring 2023,Introduction to Artificial Intelligence - MSc,English
944,Spring 2024,Introduction to Artificial Intelligence - MSc,English
945,Spring 2025,Introduction to Artificial Intelligence - MSc,English
946,Spring 2026,Introduction to Artificial Intelligence - MSc,English
947,Spring 2023,Introduction to Constructive Alignment,English
948,Spring 2017,Introduction to Data Science,English
949,Autumn 2019,Introduction to Data Science and Programming,English
950,Autumn 2017,Introduction to Data Science and Programming,English
951,Autumn 2018,Introduction to Data Science and Programming,English
952,Autumn 2020,Introduction to Data Science and Programming,English
953,Autumn 2021,Introduction to Data Science and Programming,English
954,Autumn 2022,Introduction to Data Science and Programming,English
955,Autumn 2023,Introduction to Data Science and Programming,English
956,Autumn 2024,Introduction to Data Science and Programming,English
957,Autumn 2025,Introduction to Data Science and Programming,English
958,Autumn 2013,Introduction to Database Design,English
959,Autumn 2014,Introduction to Database Design,English
960,Autumn 2015,Introduction to Database Design,English
961,Spring 2014,Introduction to Database Design,English
962,Spring 2015,Introduction to Database Design,English
963,Spring 2016,Introduction to Database Design,English
964,Autumn 2018,Introduction to Database Design - BSc/MSc,English
965,Spring 2019,Introduction to Database Design - SWU - SD - SDT,English
966,Autumn 2020,Introduction to Database Systems - DS,English
967,Autumn 2020,Introduction to Database Systems - MSc SD,English
968,Spring 2023,Introduction to Database Systems - MSc SD,English
969,Autumn 2021,Introduction to Database Systems - MSc SD,English
970,Autumn 2022,Introduction to Database Systems - MSc SD,English
971,Autumn 2023,Introduction to Database Systems - MSc SD,English
972,Autumn 2025,Introduction to Database Systems - MSc SD,English
973,Spring 2021,Introduction to Database Systems - MSc SD,English
974,Spring 2022,Introduction to Database Systems - MSc SD,English
975,Spring 2024,Introduction to Database Systems - MSc SD,English
976,Spring 2025,Introduction to Database Systems - MSc SD,English
977,Spring 2026,Introduction to Database Systems - MSc SD,English
978,Autumn 2020,Introduction to Database Systems - SWU,English
979,Autumn 2021,Introduction to Database Systems - SWU,English
980,Autumn 2022,Introduction to Database Systems - SWU,English
981,Autumn 2023,Introduction to Database Systems - SWU,English
982,Autumn 2025,Introduction to Database Systems - SWU,English
983,Spring 2021,Introduction to Database Systems - SWU,English
984,Spring 2022,Introduction to Database Systems - SWU,English
985,Spring 2023,Introduction to Database Systems - SWU,English
986,Spring 2024,Introduction to Database Systems - SWU,English
987,Spring 2025,Introduction to Database Systems - SWU,English
988,Spring 2026,Introduction to Database Systems - SWU,English
989,Spring 2014,Introduction to Graphics and Image Analysis,English
990,Spring 2015,Introduction to Graphics and Image Analysis,English
991,Spring 2016,Introduction to Graphics and Image Analysis,English
992,Spring 2019,Introduction to Image Analysis and Machine Learning - BSc - MSc,English
993,Spring 2020,Introduction to Image Analysis and Machine Learning - BSc,English
994,Spring 2017,Introduction to Image Analysis and Machine Learning - BSc,English
995,Spring 2018,Introduction to Image Analysis and Machine Learning - BSc,English
996,Spring 2020,Introduction to Image Analysis and Machine Learning - BSc (Spring 2019) - MERGED with KSIIAML1KU,English
997,Spring 2021,Introduction to Image Analysis and Machine Learning - BSc,English
998,Spring 2022,Introduction to Image Analysis and Machine Learning - BSc,English
999,Spring 2017,Introduction to Image Analysis and Machine Learning - MSc,English
1000,Spring 2021,Introduction to LearnIt - test course,English
1001,Spring 2020,Introduction to Machine Learning,English
1002,Autumn 2022,Introduction to Machine Learning,English
1003,Autumn 2023,Introduction to Machine Learning,English
1004,Autumn 2024,Introduction to Machine Learning,English
1005,Autumn 2025,Introduction to Machine Learning,English
1006,Spring 2021,Introduction to Machine Learning,English
1007,Spring 2022,Introduction to Machine Learning,English
1008,Autumn 2019,Introduction to Programming,
1009,Autumn 2018,Introduction to Programming,English
1010,Spring 2020,Introduction to Programming (Autumn 2018) - MERGED with BBINPRO1KU-1,English
1011,Autumn 2019,Introduction to Programming,English
1012,Autumn 2020,Introduction to Programming,English
1013,Autumn 2021,Introduction to Programming,English
1014,Autumn 2020,Introduction to Programming - MSc,
1015,Autumn 2021,Introduction to Programming - MSc,
1016,Autumn 2022,Introduction to Programming - MSc,
1017,Autumn 2023,Introduction to Programming - MSc,
1018,Autumn 2024,Introduction to Programming - MSc,
1019,Autumn 2025,Introduction to Programming - MSc,
1020,Autumn 2025,Introduction to Security,English
1021,Autumn 2025,Introduction to Security,
1022,Autumn 2026,Introduction to Security - MSc,English
1023,Spring 2015,Introduction to Service Design (1. del af specialisering),
1024,Autumn 2013,Introduction to Service Design,
1025,Spring 2014,Introduction to Service Design,
1026,Spring 2016,Introduction to Service Design,
1027,Spring 2017,Introduction to Service Design,
1028,Spring 2018,Introduction to Service Design,
1029,Spring 2019,Introduction to Service Design,
1030,Spring 2020,Introduction to Service Design,
1031,Spring 2021,Introduction to Service Design,
1032,Spring 2022,Introduction to Service Design,
1033,Spring 2023,Introduction to Service Design,
1034,Spring 2024,Introduction to Service Design and Management,English
1035,Spring 2024,Introduction to Service Design and Management,
1036,Spring 2025,Introduction to Service Design and Management,
1037,Introduction to Teaching and Learning Semester,Introduction to Teaching at ITU,
1038,Introduction to Teaching and Learning Semester,Introduction to the new video platform,
1039,Autumn 2013,Introductory 3D,
1040,Autumn 2014,Introductory 3D,
1041,Spring 2014,Introductory 3D,
1042,Spring 2015,Introductory 3D,
1043,Autumn 2019,Introductory Programming,
1044,Autumn 2013,Introductory Programming,
1045,Autumn 2014,Introductory Programming,
1046,Autumn 2015,Introductory Programming,
1047,Autumn 2016,Introductory Programming,
1048,Autumn 2017,Introductory Programming,
1049,Autumn 2018,Introductory Programming,
1050,Autumn 2020,Introductory Programming,
1051,Autumn 2021,Introductory Programming,
1052,Autumn 2022,Introductory Programming,
1053,Autumn 2023,Introductory Programming,
1054,Autumn 2024,Introductory Programming,
1055,Autumn 2025,Introductory Programming,
1056,Spring 2014,Introductory Programming,
1057,Spring 2015,Introductory Programming,
1058,Autumn 2014,Introduktion til interaktionsdesign - teori og metode,
1059,Autumn 2023,It-projektledelse og porteføljestyring,Danish
1060,Autumn 2023,It-projektledelse og porteføljestyring,
1061,Autumn 2024,It-projektledelse og porteføljestyring,
1062,Autumn 2025,It-projektledelse og porteføljestyring,
1063,Autumn 2015,It-projektledelse og programstyring,
1064,Autumn 2020,Jorden rundt på 4 dage - digital transformation i et globalt perspektiv,Danish
1065,Autumn 2021,Jorden rundt på 4 dage - digital transformation i et globalt perspektiv,Danish
1066,Autumn 2022,Jorden rundt på 4 dage - digital transformation i et globalt perspektiv,Danish
1067,Autumn 2023,Jorden rundt på 4 dage - digital transformation i et globalt perspektiv,Danish
1068,Autumn 2024,Jorden rundt på 4 dage – kunstig intelligens og digital transformation i et globalt perspektiv,Danish
1069,Autumn 2020,KDDIT Thesis Prep Seminar,Danish
1070,Autumn 2021,KDDIT Thesis Prep Seminar,Danish
1071,Autumn 2022,KDDIT Thesis Prep Seminar,Danish
1072,Spring 2020,KDDIT Thesis Prep Seminar,Danish
1073,Spring 2021,KDDIT Thesis Prep Seminar,Danish
1074,Spring 2022,KDDIT Thesis Prep Seminar,Danish
1075,Autumn 2020,Konceptudvikling med virksomheder,Danish
1076,Autumn 2021,Konceptudvikling med virksomheder,Danish
1077,Autumn 2024,Kvalitative Studier: Hverdagsliv med teknologier,Danish
1078,Autumn 2025,Kvalitative Studier: Hverdagsliv med teknologier,Danish
1079,Autumn 2019,Kvalitative forskningsmetoder og akademisk formidling,Danish
1080,Autumn 2015,Kvalitative forskningsmetoder og akademisk formidling,Danish
1081,Autumn 2016,Kvalitative forskningsmetoder og akademisk formidling,Danish
1082,Autumn 2017,Kvalitative forskningsmetoder og akademisk formidling,Danish
1083,Autumn 2018,Kvalitative forskningsmetoder og akademisk formidling,Danish
1084,Autumn 2020,Kvalitative forskningsmetoder og akademisk formidling,Danish
1085,Autumn 2021,Kvalitative forskningsmetoder og akademisk formidling,Danish
1086,Autumn 2022,Kvalitative forskningsmetoder og akademisk formidling,Danish
