paperUUID,personUUID,personName,personLastname,externalContributor,role
b5e04f1f-3ada-427f-8888-3ebe072d405d,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Erik,Grönvall,false,Author
b5e04f1f-3ada-427f-8888-3ebe072d405d,,Joanna,Saad-Sulonen,false,Author
152a9c58-5dc0-4a76-9108-55991c9cb081,,Pekka,Abrahamsson,true,Author
152a9c58-5dc0-4a76-9108-55991c9cb081,,Muhammad,Ali Babar,false,Author
152a9c58-5dc0-4a76-9108-55991c9cb081,,Philippe,Kruchten,true,Author
3bfbdcbd-9dd6-4f2b-918d-3339aef61ec3,,Silvia,Abrahao,true,Author
3bfbdcbd-9dd6-4f2b-918d-3339aef61ec3,,Maria Teresa,Baldassarre,true,Author
3bfbdcbd-9dd6-4f2b-918d-3339aef61ec3,,Danilo,Caivano,true,Author
3bfbdcbd-9dd6-4f2b-918d-3339aef61ec3,f2136570-f73c-446f-9fb0-6d9e461e2124,Yvonne,Dittrich,false,Author
3bfbdcbd-9dd6-4f2b-918d-3339aef61ec3,,Rosa,Lanzilotti,true,Author
3bfbdcbd-9dd6-4f2b-918d-3339aef61ec3,,Antonio,Piccinno,true,Author
1deb17a0-18a7-44fa-9602-2331a37647da,,Silvia,Abrahão,true,Author
1deb17a0-18a7-44fa-9602-2331a37647da,,Maria Teresa,Baldassarre,true,Author
1deb17a0-18a7-44fa-9602-2331a37647da,,Danilo,Caivano,true,Author
1deb17a0-18a7-44fa-9602-2331a37647da,f2136570-f73c-446f-9fb0-6d9e461e2124,Yvonne,Dittrich,false,Author
1deb17a0-18a7-44fa-9602-2331a37647da,,Rosa,Lanzilotti,true,Author
1deb17a0-18a7-44fa-9602-2331a37647da,,Antonio,Piccinno,true,Author
c3b2d09b-dd15-4fcb-8a75-2c1399ae1711,,Simone,Abram,true,Editor
c3b2d09b-dd15-4fcb-8a75-2c1399ae1711,,Brit Ross,Winthereik,false,Editor
c3b2d09b-dd15-4fcb-8a75-2c1399ae1711,,Thomas,Yarrow,true,Editor
bd22ec84-7453-40e6-a1f1-d6a9633a79c3,,Simone,Abram,true,Author
bd22ec84-7453-40e6-a1f1-d6a9633a79c3,,Brit Ross,Winthereik,false,Author
bd22ec84-7453-40e6-a1f1-d6a9633a79c3,,Thomas,Yarrow,true,Author
245a54c0-e953-11dd-8987-000ea68e967b,,Hugo Andrés Lópes,Acosta,false,Author
245a54c0-e953-11dd-8987-000ea68e967b,,Fabio,Massacci,true,Author
245a54c0-e953-11dd-8987-000ea68e967b,,Nicola,Zannone,true,Author
597ca280-e1a4-11de-a523-000ea68e967b,,Hugo Andrés López,Acosta,false,Author
597ca280-e1a4-11de-a523-000ea68e967b,d30b96a8-4f1e-44fa-9bf5-0209bedf0268,Thomas,Hildebrandt,false,Author
0b6ad680-e1a8-11de-a523-000ea68e967b,,Hugo Andrés López,Acosta,false,Author
0b6ad680-e1a8-11de-a523-000ea68e967b,,Carlos,Olarte,true,Author
0b6ad680-e1a8-11de-a523-000ea68e967b,,Jorge A.,Perez,true,Author
98a5d29e-d62c-4537-8056-03005d789706,,Ada,Ada Ada,false,Author
98a5d29e-d62c-4537-8056-03005d789706,,Stina Hasse,Jørgensen,false,Author
98a5d29e-d62c-4537-8056-03005d789706,d37cba38-dff2-4c27-a515-226cfadfd849,Jonas,Fritsch,false,Author
3a5d4085-710a-4a69-963e-083d772debc8,,Noëmi,Aepli,true,Author
3a5d4085-710a-4a69-963e-083d772debc8,,Çağrı ,Çöltekin,true,Author
3a5d4085-710a-4a69-963e-083d772debc8,8e5f2a6c-c817-4a90-b48b-d9171743ad0f,Rob,van der Goot,false,Author
3a5d4085-710a-4a69-963e-083d772debc8,, Tommi ,Jauhiainen,true,Author
3a5d4085-710a-4a69-963e-083d772debc8,,Mourhaf ,Kazzaz,true,Author
3a5d4085-710a-4a69-963e-083d772debc8,,Nikola ,Ljubešic,true,Author
3a5d4085-710a-4a69-963e-083d772debc8,,Kai ,North,true,Author
3a5d4085-710a-4a69-963e-083d772debc8,f073ebac-704d-4236-9206-d1d2ef2be9c3,Barbara,Plank,false,Author
3a5d4085-710a-4a69-963e-083d772debc8,,Yves ,Scherrer,true,Author
3a5d4085-710a-4a69-963e-083d772debc8,,Marcos ,Zampieri,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Jan,Aerts,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Wolfgang,Aigner,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Benjamin,Bach,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Fearn,Bishop,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Magdalena,Boucher,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Peter C.-H.,Cheng,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Alexandra,Diehl,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Jason,Dykes,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Sarah,Hayes,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Uta,Hinrichs,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Samuel,Huron,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Christoph,Kinkeldey,true,Author
