Course Name,ECTS,Semester,Language,Exam,Teacher,Programme,Single Subject,Guest Students
Designing Aesthetic User Experiences (Autumn 2021),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Designing Aesthetic User Experiences (Autumn 2023) Designing Aesthetic User Experiences (Autumn 2024) Designing Aesthetic User Experiences (Autumn 2025) Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play (Autumn 2014) Designing Digital Play (Autumn 2015) Designing Digital Play (Autumn 2016) Designing Digital Play (Autumn 2017) Designing Digital Play (Autumn 2018) Designing Digital Play (Spring 2014) Designing Digital Play (Spring 2021) Designing Digital Play (Spring 2022) Designing Digital Play (Spring 2023) Designing Digital Play (Spring 2024) Designing Digital Play (Spring 2025) Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions (Spring 2019) Designing Interactions (Spring 2020) Designing Interactions (Spring 2021) Designing Interactions (Spring 2022) Designing Interactions (Spring 2023) Designing Interactions (Spring 2024) Designing Interactions (Spring 2025) Designing Interactive Artifacts (1. del af specialisering) (Spring 2015) Designing Interactive Artifacts (Spring 2014) Designing Interactive Artifacts (Spring 2016) Designing Interactive Artifacts (Spring 2017)",No,No
Designing Aesthetic User Experiences (Autumn 2022),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Designing Aesthetic User Experiences (Autumn 2024) Designing Aesthetic User Experiences (Autumn 2025) Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play (Autumn 2014) Designing Digital Play (Autumn 2015) Designing Digital Play (Autumn 2016) Designing Digital Play (Autumn 2017) Designing Digital Play (Autumn 2018) Designing Digital Play (Spring 2014) Designing Digital Play (Spring 2021) Designing Digital Play (Spring 2022) Designing Digital Play (Spring 2023) Designing Digital Play (Spring 2024) Designing Digital Play (Spring 2025) Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions (Spring 2019) Designing Interactions (Spring 2020) Designing Interactions (Spring 2021) Designing Interactions (Spring 2022) Designing Interactions (Spring 2023) Designing Interactions (Spring 2024) Designing Interactions (Spring 2025) Designing Interactive Artifacts (1. del af specialisering) (Spring 2015) Designing Interactive Artifacts (Spring 2014) Designing Interactive Artifacts (Spring 2016) Designing Interactive Artifacts (Spring 2017)",No,No
Designing Aesthetic User Experiences (Autumn 2023),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Semester Autumn 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2024) Designing Aesthetic User Experiences (Autumn 2025) Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play (Autumn 2014) Designing Digital Play (Autumn 2015) Designing Digital Play (Autumn 2016) Designing Digital Play (Autumn 2017) Designing Digital Play (Autumn 2018) Designing Digital Play (Spring 2014) Designing Digital Play (Spring 2021) Designing Digital Play (Spring 2022) Designing Digital Play (Spring 2023) Designing Digital Play (Spring 2024) Designing Digital Play (Spring 2025) Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions (Spring 2019) Designing Interactions (Spring 2020) Designing Interactions (Spring 2021) Designing Interactions (Spring 2022) Designing Interactions (Spring 2023) Designing Interactions (Spring 2024) Designing Interactions (Spring 2025) Designing Interactive Artifacts (1. del af specialisering) (Spring 2015) Designing Interactive Artifacts (Spring 2014) Designing Interactive Artifacts (Spring 2016) Designing Interactive Artifacts (Spring 2017)",No,No
Designing Aesthetic User Experiences (Autumn 2024),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Semester Autumn 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2024) Semester Autumn 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2025) Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play (Autumn 2014) Designing Digital Play (Autumn 2015) Designing Digital Play (Autumn 2016) Designing Digital Play (Autumn 2017) Designing Digital Play (Autumn 2018) Designing Digital Play (Spring 2014) Designing Digital Play (Spring 2021) Designing Digital Play (Spring 2022) Designing Digital Play (Spring 2023) Designing Digital Play (Spring 2024) Designing Digital Play (Spring 2025) Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions (Spring 2019) Designing Interactions (Spring 2020) Designing Interactions (Spring 2021) Designing Interactions (Spring 2022) Designing Interactions (Spring 2023) Designing Interactions (Spring 2024) Designing Interactions (Spring 2025) Designing Interactive Artifacts (1. del af specialisering) (Spring 2015) Designing Interactive Artifacts (Spring 2014) Designing Interactive Artifacts (Spring 2016) Designing Interactive Artifacts (Spring 2017)",No,No
Designing Aesthetic User Experiences (Autumn 2025),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Semester Autumn 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2024) Semester Autumn 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2025) Semester Autumn 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play Designing Digital Play (Autumn 2014) Designing Digital Play (Autumn 2015) Designing Digital Play (Autumn 2016) Designing Digital Play (Autumn 2017) Designing Digital Play (Autumn 2018) Designing Digital Play (Spring 2014) Designing Digital Play (Spring 2021) Designing Digital Play (Spring 2022) Designing Digital Play (Spring 2023) Designing Digital Play (Spring 2024) Designing Digital Play (Spring 2025) Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions Designing Interactions (Spring 2019) Designing Interactions (Spring 2020) Designing Interactions (Spring 2021) Designing Interactions (Spring 2022) Designing Interactions (Spring 2023) Designing Interactions (Spring 2024) Designing Interactions (Spring 2025) Designing Interactive Artifacts (1. del af specialisering) (Spring 2015) Designing Interactive Artifacts (Spring 2014) Designing Interactive Artifacts (Spring 2016) Designing Interactive Artifacts (Spring 2017)",No,No
Designing Digital Play,7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Miguel Angel Sicart,BSc in Digital Design and Interactive Technologies,Yes,Yes
Designing Digital Play (Autumn 2014),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Semester Autumn 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2024) Semester Autumn 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2025) Semester Autumn 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Digital Play The purpose of this course is to explore play as an expressive form and creative framework outside of the domain of games. As such, the learning goals and activities are not oriented towards game design. This course will focus on drawing into the digital design domain inspiration and practices from play and computer games. This course is designed to expand the intellectual and professional scope of interaction design students. ECTS 7.5 Semester Spring 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Miguel Angel Sicart Programme BSc in Digital Design and Interactive Technologies",Yes,Yes
Designing Digital Play (Autumn 2015),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Semester Autumn 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2024) Semester Autumn 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2025) Semester Autumn 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Digital Play The purpose of this course is to explore play as an expressive form and creative framework outside of the domain of games. As such, the learning goals and activities are not oriented towards game design. This course will focus on drawing into the digital design domain inspiration and practices from play and computer games. This course is designed to expand the intellectual and professional scope of interaction design students. ECTS 7.5 Semester Spring 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Miguel Angel Sicart Programme BSc in Digital Design and Interactive Technologies",Yes,Yes
Designing Digital Play (Autumn 2016),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Semester Autumn 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2024) Semester Autumn 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2025) Semester Autumn 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Digital Play The purpose of this course is to explore play as an expressive form and creative framework outside of the domain of games. As such, the learning goals and activities are not oriented towards game design. This course will focus on drawing into the digital design domain inspiration and practices from play and computer games. This course is designed to expand the intellectual and professional scope of interaction design students. ECTS 7.5 Semester Spring 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Miguel Angel Sicart Programme BSc in Digital Design and Interactive Technologies",Yes,Yes
Designing Digital Play (Autumn 2017),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Semester Autumn 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2024) Semester Autumn 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2025) Semester Autumn 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Digital Play The purpose of this course is to explore play as an expressive form and creative framework outside of the domain of games. As such, the learning goals and activities are not oriented towards game design. This course will focus on drawing into the digital design domain inspiration and practices from play and computer games. This course is designed to expand the intellectual and professional scope of interaction design students. ECTS 7.5 Semester Spring 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Miguel Angel Sicart Programme BSc in Digital Design and Interactive Technologies",Yes,Yes
Designing Digital Play (Autumn 2018),. The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Anders Sundnes Løvlie,"K-DDIT:Master of Science in Information Technology (Digital Design and Interactive Technologies) Access course Designdrevet innovation (Spring 2022) Semester Spring 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2023) Semester Spring 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2024) Semester Spring 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designdrevet innovation (Spring 2025) Semester Spring 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences Creating aesthetic user experiences requires designers to pay attention to all the subjective, sensorial and emotional qualities that can make a design delightful, pleasant and interesting to users. This course offers a theoretical and methodological foundation for thinking about aesthetics in your design projECTS . The course is structured around practical design projects addressing challenges from external partners in the cultural sector and/or the creative industries. ECTS 7.5 Semester Autumn 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Anders Sundnes Løvlie Programme MSc in Digital Design and Interactive Technologies Read more Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences Designing Aesthetic User Experiences (Autumn 2021) Semester Autumn 2021 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2022) Semester Autumn 2022 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2023) Semester Autumn 2023 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2024) Semester Autumn 2024 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Aesthetic User Experiences (Autumn 2025) Semester Autumn 2025 Programme K-DDIT:MSc in Digital Design and Interactive Technologies Access course Designing Digital Play The purpose of this course is to explore play as an expressive form and creative framework outside of the domain of games. As such, the learning goals and activities are not oriented towards game design. This course will focus on drawing into the digital design domain inspiration and practices from play and computer games. This course is designed to expand the intellectual and professional scope of interaction design students. ECTS 7.5 Semester Spring 2021 Language English Exam C: Submission of written work, External (7-point scale) Teacher Miguel Angel Sicart Programme BSc in Digital Design and Interactive Technologies",Yes,Yes
